2022-12-17 13:26:46.687232	folder path: saved/riemannian-diffusion/sphere/UniformSlice-64-0.001-100000-0-0-2.0-256-2-0-12345-0.995-100
2022-12-17 13:26:46.687432	Namespace(dataset='UniformSlice', dataroot='data', saveroot='saved', expname='sphere', print_every=100, sample_every=1000, checkpoint_every=1000, evaluate_every=5000, evaluation_K=10, num_steps=100, inference_num_steps=100, evaluation_num_steps=100, seed=12345, T0=2.0, emb_size=256, hidden_layers=2, imp=0, div=None, batch_size=64, val_batch_size=256, test_batch_size=256, lr=0.001, num_iterations=100000, sch=0, warmup_iters=0, ema_decay=0.995, mode='train')
2022-12-17 13:26:47.621523	ConcatSinMLP(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=256, bias=True)
    (1): Sin()
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): Sin()
    (4): Linear(in_features=256, out_features=3, bias=True)
  )
)
2022-12-17 13:26:47.621709	cuda unavailable
2022-12-17 13:29:47.892493	Iteration 7400 	loss 2.3878095149993896
2022-12-17 13:29:50.107758	Iteration 7500 	loss 2.304677963256836
2022-12-17 13:29:52.481731	Iteration 7600 	loss 2.4856343269348145
2022-12-17 13:29:54.713059	Iteration 7700 	loss 2.0373332500457764
2022-12-17 13:29:56.927454	Iteration 7800 	loss 2.3569884300231934
2022-12-17 13:29:59.149706	Iteration 7900 	loss 2.506030797958374
2022-12-17 13:30:01.377866	Iteration 8000 	loss 2.369330644607544
2022-12-17 13:30:03.731442	Iteration 8100 	loss 2.4382362365722656
2022-12-17 13:30:05.952985	Iteration 8200 	loss 2.514009952545166
2022-12-17 13:30:08.172600	Iteration 8300 	loss 2.148681879043579
2022-12-17 13:30:10.456918	Iteration 8400 	loss 2.298363447189331
2022-12-17 13:30:12.677312	Iteration 8500 	loss 2.68209171295166
2022-12-17 13:30:15.061296	Iteration 8600 	loss 2.2487711906433105
2022-12-17 13:30:17.281588	Iteration 8700 	loss 2.3933777809143066
2022-12-17 13:30:19.490533	Iteration 8800 	loss 2.490917682647705
2022-12-17 13:30:21.709075	Iteration 8900 	loss 2.1988472938537598
2022-12-17 13:30:23.934088	Iteration 9000 	loss 2.2867980003356934
2022-12-17 13:30:26.283601	Iteration 9100 	loss 2.3504207134246826
2022-12-17 13:30:28.509676	Iteration 9200 	loss 2.2846078872680664
2022-12-17 13:30:30.727936	Iteration 9300 	loss 2.4729437828063965
2022-12-17 13:30:32.923464	Iteration 9400 	loss 2.802260160446167
2022-12-17 13:30:35.169366	Iteration 9500 	loss 2.167903423309326
